iter	Passed	Remaining
626	7753	4612
627	7770	4602
628	7786	4592
629	7802	4582
630	7814	4569
631	7827	4557
632	7841	4546
633	7854	4534
634	7867	4522
635	7880	4510
636	7892	4497
637	7906	4486
638	7919	4474
639	7931	4461
640	7943	4449
641	7957	4437
642	7969	4424
643	7981	4412
644	7995	4400
645	8007	4387
646	8022	4376
647	8035	4364
648	8048	4352
649	8060	4340
650	8073	4327
651	8085	4315
652	8097	4303
653	8110	4290
654	8122	4278
655	8134	4265
656	8147	4253
657	8160	4241
658	8173	4229
659	8186	4217
660	8199	4205
661	8211	4192
662	8224	4180
663	8237	4168
664	8250	4156
665	8262	4143
666	8274	4131
667	8291	4121
668	8307	4110
669	8322	4099
670	8338	4088
671	8353	4077
672	8367	4065
673	8380	4053
674	8394	4041
675	8408	4029
676	8421	4017
677	8434	4005
678	8447	3993
679	8460	3981
680	8472	3968
681	8485	3956
682	8497	3943
683	8509	3931
684	8522	3919
685	8534	3906
686	8547	3894
687	8560	3882
688	8574	3870
689	8586	3857
690	8599	3845
691	8612	3833
692	8626	3821
693	8638	3808
694	8652	3797
695	8664	3784
696	8676	3771
697	8690	3759
698	8701	3747
699	8714	3734
700	8726	3722
701	8739	3709
702	8752	3697
703	8765	3685
704	8778	3673
705	8791	3660
706	8803	3648
707	8815	3635
708	8829	3623
709	8841	3611
710	8853	3598
711	8867	3586
712	8879	3574
713	8891	3561
714	8904	3549
715	8917	3537
716	8930	3524
717	8942	3512
718	8954	3499
719	8967	3487
720	8979	3474
721	8991	3462
722	9004	3449
723	9016	3437
724	9028	3424
725	9040	3411
726	9052	3399
727	9064	3386
728	9079	3375
729	9092	3362
730	9104	3350
731	9118	3338
732	9131	3326
733	9143	3313
734	9155	3301
735	9168	3288
736	9181	3276
737	9193	3263
738	9206	3251
739	9219	3239
740	9231	3226
741	9243	3214
742	9256	3201
743	9269	3189
744	9282	3177
745	9294	3164
746	9306	3152
747	9319	3139
748	9332	3127
749	9344	3114
750	9356	3102
751	9368	3089
752	9381	3077
753	9395	3065
754	9407	3052
755	9419	3040
756	9432	3027
757	9444	3015
758	9457	3002
759	9470	2990
760	9483	2978
761	9496	2966
762	9508	2953
763	9521	2941
764	9534	2928
765	9546	2916
766	9558	2903
767	9572	2891
768	9585	2879
769	9598	2866
770	9611	2854
771	9625	2842
772	9637	2830
773	9650	2817
774	9662	2805
775	9675	2792
776	9688	2780
777	9702	2768
778	9715	2756
779	9727	2743
780	9740	2731
781	9752	2718
782	9765	2706
783	9777	2693
784	9790	2681
785	9802	2668
786	9815	2656
787	9827	2643
788	9839	2631
789	9852	2619
790	9864	2606
791	9877	2594
792	9890	2581
793	9903	2569
794	9916	2556
795	9928	2544
796	9940	2531
797	9952	2519
798	9965	2506
799	9977	2494
800	9989	2481
801	10001	2469
802	10014	2456
803	10028	2444
804	10041	2432
805	10054	2419
806	10067	2407
807	10079	2395
808	10092	2382
809	10104	2370
810	10117	2357
811	10130	2345
812	10143	2333
813	10157	2321
814	10170	2308
815	10183	2296
816	10197	2284
817	10210	2271
818	10224	2259
819	10238	2247
820	10252	2235
821	10267	2223
822	10279	2210
823	10292	2198
824	10306	2186
825	10319	2173
826	10332	2161
827	10347	2149
828	10361	2137
829	10374	2124
830	10388	2112
831	10401	2100
832	10413	2087
833	10426	2075
834	10438	2062
835	10451	2050
836	10464	2037
837	10476	2025
838	10489	2012
839	10503	2000
840	10515	1988
841	10529	1975
842	10543	1963
843	10555	1951
844	10568	1938
845	10581	1926
846	10594	1913
847	10607	1901
848	10620	1888
849	10633	1876
850	10646	1864
851	10660	1851
852	10672	1839
853	10685	1826
854	10699	1814
855	10712	1802
856	10725	1789
857	10738	1777
858	10750	1764
859	10763	1752
860	10776	1739
861	10788	1727
862	10802	1714
863	10815	1702
864	10827	1689
865	10840	1677
866	10857	1665
867	10879	1654
868	10893	1642
869	10907	1629
870	10920	1617
871	10934	1605
872	10947	1592
873	10960	1580
874	10973	1567
875	10986	1555
876	10999	1542
877	11011	1530
878	11024	1517
879	11037	1505
880	11050	1492
881	11063	1480
882	11076	1467
883	11089	1455
884	11102	1442
885	11114	1430
886	11126	1417
887	11139	1405
888	11152	1392
889	11163	1379
890	11176	1367
891	11189	1354
892	11202	1342
893	11215	1329
894	11228	1317
895	11240	1304
896	11253	1292
897	11267	1279
898	11279	1267
899	11291	1254
900	11304	1242
901	11318	1229
902	11331	1217
903	11344	1204
904	11357	1192
905	11372	1179
906	11385	1167
907	11398	1154
908	11411	1142
909	11424	1129
910	11437	1117
911	11450	1104
912	11462	1092
913	11475	1079
914	11488	1067
915	11501	1054
916	11513	1042
917	11526	1029
918	11538	1017
919	11552	1004
920	11564	991
921	11577	979
922	11590	966
923	11603	954
924	11615	941
925	11627	929
926	11640	916
927	11652	904
928	11664	891
929	11677	878
930	11689	866
931	11701	853
932	11713	841
933	11726	828
934	11738	816
935	11750	803
936	11763	790
937	11780	778
938	11793	766
939	11808	753
940	11821	741
941	11838	728
942	11853	716
943	11867	704
944	11882	691
945	11897	679
946	11912	666
947	11924	654
948	11937	641
949	11949	628
950	11963	616
951	11975	603
952	11988	591
953	12002	578
954	12014	566
955	12027	553
956	12039	540
957	12052	528
958	12064	515
959	12076	503
960	12089	490
961	12102	478
962	12114	465
963	12127	452
964	12140	440
965	12153	427
966	12166	415
967	12181	402
968	12193	390
969	12207	377
970	12221	365
971	12234	352
972	12248	339
973	12262	327
974	12274	314
975	12288	302
976	12301	289
977	12315	277
978	12327	264
979	12340	251
980	12353	239
981	12366	226
982	12378	214
983	12391	201
984	12405	188
985	12418	176
986	12432	163
987	12445	151
988	12459	138
989	12472	125
990	12485	113
991	12499	100
992	12512	88
993	12524	75
994	12537	63
995	12550	50
996	12564	37
997	12577	25
998	12591	12
999	12604	0
